epoch,step,train_class_loss_epoch,train_class_loss_step,train_kld_loss_epoch,train_kld_loss_step,train_recon_loss_epoch,train_recon_loss_step,train_total_loss_epoch,train_total_loss_step,train_vae_loss_epoch,train_vae_loss_step,val_acc,val_class_loss,val_kld_loss,val_recon_loss,val_total_loss,val_vae_loss
0,8,,,,,,,,,,,0.6333333253860474,1.2903658151626587,0.09242349863052368,0.830253541469574,2.213043212890625,0.9226770401000977
0,8,1.400986909866333,,0.8794549703598022,,0.9567388296127319,,3.237180709838867,,1.8361937999725342,,,,,,,
1,9,,1.2896740436553955,,0.4810742437839508,,0.9053471088409424,,2.676095485687256,,1.3864213228225708,,,,,,
1,17,,,,,,,,,,,0.6851851940155029,1.1581494808197021,0.11575492471456528,0.835150420665741,2.1090548038482666,0.9509053826332092
1,17,1.23617684841156,,0.4037860631942749,,0.9027485251426697,,2.5427112579345703,,1.3065346479415894,,,,,,,
2,19,,1.1468958854675293,,0.2829785645008087,,0.8957812786102295,,2.325655698776245,,1.1787598133087158,,,,,,
2,26,,,,,,,,,,,0.6796296238899231,1.053572177886963,0.1029227077960968,0.837906539440155,1.994401454925537,0.9408292770385742
2,26,1.1116377115249634,,0.26187625527381897,,0.8781684041023254,,2.2516822814941406,,1.1400446891784668,,,,,,,
3,29,,1.02252197265625,,0.18373504281044006,,0.8518804311752319,,2.0581374168395996,,1.0356154441833496,,,,,,
3,35,,,,,,,,,,,0.6888889074325562,0.9649669528007507,0.08750154078006744,0.835177481174469,1.8876460790634155,0.92267906665802
3,35,1.0272992849349976,,0.18115371465682983,,0.861841082572937,,2.070294141769409,,1.042994737625122,,,,,,,
4,39,,0.9384185671806335,,0.14860542118549347,,0.8507342338562012,,1.937758207321167,,0.9993396401405334,,,,,,
4,44,,,,,,,,,,,0.6851851940155029,0.9133752584457397,0.06299035251140594,0.8329861164093018,1.8093516826629639,0.8959764838218689
4,44,0.9472417831420898,,0.1448332667350769,,0.8523485064506531,,1.9444235563278198,,0.99718177318573,,,,,,,
5,49,,0.8802465200424194,,0.11803866922855377,,0.837756335735321,,1.8360414505004883,,0.9557949900627136,,,,,,
5,53,,,,,,,,,,,0.6888889074325562,0.8544377684593201,0.049801796674728394,0.830302357673645,1.734541893005371,0.8801041841506958
5,53,0.8961656093597412,,0.11857861280441284,,0.8469842672348022,,1.8617284297943115,,0.9655629396438599,,,,,,,
6,59,,0.8662318587303162,,0.09254821389913559,,0.8775526285171509,,1.8363326787948608,,0.9701008200645447,,,,,,
6,62,,,,,,,,,,,0.6870370507240295,0.8246906995773315,0.04236308112740517,0.8287293314933777,1.6957831382751465,0.8710924386978149
6,62,0.8418010473251343,,0.1004398837685585,,0.8428595662117004,,1.7851004600524902,,0.9432994723320007,,,,,,,
7,69,,0.7992176413536072,,0.08564586192369461,,0.8122901320457458,,1.6971535682678223,,0.8979359865188599,,,,,,
7,71,,,,,,,,,,,0.6851851940155029,0.7843407988548279,0.036474455147981644,0.8272320032119751,1.6480473279953003,0.8637065291404724
7,71,0.8149998784065247,,0.09070724993944168,,0.840087354183197,,1.745794415473938,,0.9307944774627686,,,,,,,
8,79,,0.7977354526519775,,0.0719631165266037,,0.834475576877594,,1.7041741609573364,,0.9064387083053589,,,,,,
8,80,,,,,,,,,,,0.6907407641410828,0.7659050822257996,0.03096436709165573,0.8263563513755798,1.6232258081436157,0.8573207259178162
8,80,0.7950352430343628,,0.07801655679941177,,0.838598906993866,,1.7116509675979614,,0.9166154861450195,,,,,,,
9,89,,0.787442684173584,,0.06633996218442917,,0.8507829308509827,,1.7045655250549316,,0.9171229004859924,,,,,,
9,89,,,,,,,,,,,0.6888889074325562,0.7646215558052063,0.027077030390501022,0.8256109952926636,1.6173095703125,0.8526879549026489
9,89,0.7764778733253479,,0.07073885202407837,,0.8366335034370422,,1.6838501691818237,,0.9073723554611206,,,,,,,
10,98,,,,,,,,,,,0.6907407641410828,0.7364989519119263,0.024660132825374603,0.8251626491546631,1.5863217115402222,0.8498227000236511
10,98,0.7679033279418945,,0.06393899023532867,,0.8355912566184998,,1.667433500289917,,0.8995301723480225,,,,,,,
11,99,,0.7515761852264404,,0.06315112859010696,,0.8342758417129517,,1.6490031480789185,,0.897426962852478,,,,,,
11,107,,,,,,,,,,,0.6907407641410828,0.7534893155097961,0.021638821810483932,0.8248290419578552,1.5999571084976196,0.8464678525924683
11,107,0.7488998770713806,,0.05878403037786484,,0.8345065116882324,,1.6421903371810913,,0.8932904601097107,,,,,,,
12,109,,0.8194317817687988,,0.052966389805078506,,0.8396465182304382,,1.7120447158813477,,0.8926129341125488,,,,,,
12,116,,,,,,,,,,,0.6888889074325562,0.7491631507873535,0.021063420921564102,0.8245766758918762,1.5948032140731812,0.8456400036811829
12,116,0.7575652599334717,,0.05266841500997543,,0.8336166739463806,,1.6438504457473755,,0.8862851858139038,,,,,,,
13,119,,0.7890140414237976,,0.04842781275510788,,0.8616609573364258,,1.6991028785705566,,0.9100887775421143,,,,,,
13,125,,,,,,,,,,,0.6907407641410828,0.741511344909668,0.018186388537287712,0.8239305019378662,1.5836281776428223,0.8421168923377991
13,125,0.7441340684890747,,0.05035778135061264,,0.8327876925468445,,1.6272797584533691,,0.8831454515457153,,,,,,,
14,129,,0.725351095199585,,0.047146014869213104,,0.8114867806434631,,1.5839838981628418,,0.8586328029632568,,,,,,
14,134,,,,,,,,,,,0.6888889074325562,0.7331992983818054,0.017966825515031815,0.8237791061401367,1.5749452114105225,0.8417459726333618
14,134,0.7390286326408386,,0.045705750584602356,,0.8320562243461609,,1.6167906522750854,,0.877761960029602,,,,,,,
15,139,,0.7660113573074341,,0.0440530925989151,,0.8107146620750427,,1.620779037475586,,0.8547677397727966,,,,,,
15,143,,,,,,,,,,,0.6888889074325562,0.7302699089050293,0.01693347468972206,0.8235694766044617,1.5707730054855347,0.8405029773712158
15,143,0.7353368401527405,,0.04300979524850845,,0.8316122889518738,,1.6099591255187988,,0.874622106552124,,,,,,,
16,149,,0.7176487445831299,,0.03869207948446274,,0.8317590951919556,,1.5880999565124512,,0.8704511523246765,,,,,,
16,152,,,,,,,,,,,0.6925926208496094,0.7284098267555237,0.015506099909543991,0.8235086798667908,1.5674245357513428,0.8390147686004639
16,152,0.7340961694717407,,0.04010968655347824,,0.8309798240661621,,1.6051857471466064,,0.8710894584655762,,,,,,,
17,159,,0.7528598308563232,,0.033618345856666565,,0.8400185704231262,,1.6264967918395996,,0.8736369013786316,,,,,,
17,161,,,,,,,,,,,0.6907407641410828,0.7173953056335449,0.013991507701575756,0.8232908844947815,1.5546777248382568,0.8372823596000671
17,161,0.7329062223434448,,0.0366387702524662,,0.830568253993988,,1.6001131534576416,,0.8672069311141968,,,,,,,
18,169,,0.7244098782539368,,0.033802181482315063,,0.8353642821311951,,1.593576431274414,,0.8691664934158325,,,,,,
18,170,,,,,,,,,,,0.6888889074325562,0.7281896471977234,0.014390340074896812,0.8231325149536133,1.5657124519348145,0.8375228047370911
18,170,0.7197186350822449,,0.0350324809551239,,0.8304021954536438,,1.5851532220840454,,0.8654346466064453,,,,,,,
19,179,,0.6638778448104858,,0.03350667655467987,,0.8045459985733032,,1.5019304752349854,,0.8380526900291443,,,,,,
19,179,,,,,,,,,,,0.6907407641410828,0.7225762605667114,0.01487934123724699,0.8228816986083984,1.5603373050689697,0.8377610445022583
19,179,0.7251015305519104,,0.034107789397239685,,0.8296352028846741,,1.5888444185256958,,0.863743007183075,,,,,,,
20,188,,,,,,,,,,,0.6907407641410828,0.7290710210800171,0.014991553500294685,0.8228644132614136,1.5669269561767578,0.8378559350967407
20,188,0.7239532470703125,,0.03356226906180382,,0.8293933272361755,,1.5869085788726807,,0.8629555702209473,,,,,,,
21,189,,0.7613617181777954,,0.03122951090335846,,0.8526183366775513,,1.645209550857544,,0.8838478326797485,,,,,,
21,197,,,,,,,,,,,0.6907407641410828,0.7135530114173889,0.012876439839601517,0.8227749466896057,1.5492043495178223,0.8356513977050781
21,197,0.7232582569122314,,0.031071875244379044,,0.8290733695030212,,1.5834035873413086,,0.8601452708244324,,,,,,,
22,199,,0.7848733067512512,,0.02970612794160843,,0.817314863204956,,1.6318943500518799,,0.8470209836959839,,,,,,
22,206,,,,,,,,,,,0.6907407641410828,0.7092899680137634,0.012628094293177128,0.8228581547737122,1.544776201248169,0.8354862928390503
22,206,0.72349613904953,,0.029398808255791664,,0.8291880488395691,,1.582082986831665,,0.8585869073867798,,,,,,,
23,209,,0.6695835590362549,,0.026983005926012993,,0.8155767917633057,,1.5121433734893799,,0.842559814453125,,,,,,
23,215,,,,,,,,,,,0.6907407641410828,0.7213808298110962,0.011656603775918484,0.8224815130233765,1.5555189847946167,0.8341380953788757
23,215,0.7193442583084106,,0.02705071121454239,,0.8289695382118225,,1.575364589691162,,0.8560201525688171,,,,,,,
24,219,,0.7488300800323486,,0.024459686130285263,,0.8267180323600769,,1.6000077724456787,,0.8511776924133301,,,,,,
24,224,,,,,,,,,,,0.6907407641410828,0.71110999584198,0.011438658460974693,0.8224253058433533,1.5449738502502441,0.8338639736175537
24,224,0.7223480939865112,,0.026041824370622635,,0.8287026882171631,,1.5770925283432007,,0.8547446131706238,,,,,,,
25,229,,0.7960454821586609,,0.023558519780635834,,0.8391423225402832,,1.6587462425231934,,0.8627008199691772,,,,,,
25,233,,,,,,,,,,,0.6907407641410828,0.7091044783592224,0.01162685826420784,0.8225240707397461,1.5432554483413696,0.8341509103775024
25,233,0.7174871563911438,,0.0243547260761261,,0.8280993103981018,,1.5699410438537598,,0.8524540662765503,,,,,,,
26,239,,0.7476441264152527,,0.026169946417212486,,0.8249710202217102,,1.598785161972046,,0.8511409759521484,,,,,,
26,242,,,,,,,,,,,0.6907407641410828,0.7132857441902161,0.012024356983602047,0.8223274946212769,1.547637701034546,0.8343518972396851
26,242,0.7215427756309509,,0.0252989474684,,0.8279497027397156,,1.5747913122177124,,0.8532485961914062,,,,,,,
27,249,,0.7103822231292725,,0.02545338124036789,,0.8236290216445923,,1.559464693069458,,0.8490824103355408,,,,,,
27,251,,,,,,,,,,,0.6907407641410828,0.7184789180755615,0.011165281757712364,0.8223364353179932,1.5519806146621704,0.8335017561912537
27,251,0.7151639461517334,,0.024459075182676315,,0.8280916213989258,,1.5677146911621094,,0.8525506854057312,,,,,,,
28,259,,0.7698060274124146,,0.02175063267350197,,0.8175875544548035,,1.6091442108154297,,0.8393381834030151,,,,,,
28,260,,,,,,,,,,,0.6907407641410828,0.7186709046363831,0.009706253185868263,0.822294294834137,1.5506713390350342,0.8320004940032959
28,260,0.7108285427093506,,0.021968796849250793,,0.8274062275886536,,1.5602036714553833,,0.8493750691413879,,,,,,,
29,269,,0.8062312602996826,,0.01990637741982937,,0.8601897358894348,,1.6863274574279785,,0.8800961375236511,,,,,,
29,269,,,,,,,,,,,0.6907407641410828,0.7140416502952576,0.00917232409119606,0.8223585486412048,1.5455725193023682,0.8315308690071106
29,269,0.7174423933029175,,0.02032511867582798,,0.8275418877601624,,1.5653095245361328,,0.8478670120239258,,,,,,,
30,278,,,,,,,,,,,0.6907407641410828,0.7178482413291931,0.010480642318725586,0.8221727609634399,1.5505015850067139,0.8326534628868103
30,278,0.7164182662963867,,0.01999771036207676,,0.8272882103919983,,1.563704013824463,,0.8472858667373657,,,,,,,
31,279,,0.704992949962616,,0.020317429676651955,,0.8318216800689697,,1.5571320056915283,,0.8521391153335571,,,,,,
31,287,,,,,,,,,,,0.6907407641410828,0.7059021592140198,0.01007629744708538,0.822141706943512,1.5381200313568115,0.8322180509567261
31,287,0.7197884917259216,,0.02019675076007843,,0.8267736434936523,,1.5667588710784912,,0.8469703793525696,,,,,,,
32,289,,0.673967182636261,,0.018336810171604156,,0.8221918940544128,,1.514495849609375,,0.8405287265777588,,,,,,
32,296,,,,,,,,,,,0.6907407641410828,0.7057521939277649,0.009374273009598255,0.8222184181213379,1.5373449325561523,0.8315926194190979
32,296,0.7207331657409668,,0.01913182996213436,,0.8271120190620422,,1.5669771432876587,,0.8462437987327576,,,,,,,
33,299,,0.6702539324760437,,0.01727885939180851,,0.8264668583869934,,1.5139997005462646,,0.8437457084655762,,,,,,
33,305,,,,,,,,,,,0.6907407641410828,0.717887282371521,0.009122699499130249,0.8220342993736267,1.5490442514419556,0.8311569690704346
33,305,0.7156018614768982,,0.01840563304722309,,0.8268952965736389,,1.5609028339385986,,0.8453009128570557,,,,,,,
34,309,,0.7105131149291992,,0.017886802554130554,,0.841494083404541,,1.5698940753936768,,0.8593809008598328,,,,,,
34,314,,,,,,,,,,,0.6907407641410828,0.7017900943756104,0.00854081567376852,0.8221878409385681,1.532518744468689,0.8307285904884338
34,314,0.7175748944282532,,0.017768407240509987,,0.8268448710441589,,1.5621881484985352,,0.844613254070282,,,,,,,
35,319,,0.688341498374939,,0.016394738107919693,,0.8462305068969727,,1.550966739654541,,0.862625241279602,,,,,,
35,323,,,,,,,,,,,0.6907407641410828,0.7149159908294678,0.008439715951681137,0.8219966888427734,1.5453523397445679,0.8304363489151001
35,323,0.7154284119606018,,0.016681835055351257,,0.8264815807342529,,1.5585917234420776,,0.8431634902954102,,,,,,,
36,329,,0.8378746509552002,,0.01640547439455986,,0.8591808080673218,,1.713460922241211,,0.8755862712860107,,,,,,
36,332,,,,,,,,,,,0.6907407641410828,0.7221707105636597,0.008351285010576248,0.8218820095062256,1.5524040460586548,0.8302333354949951
36,332,0.7114984393119812,,0.016574757173657417,,0.8265830874443054,,1.5546562671661377,,0.843157947063446,,,,,,,
37,339,,0.681567907333374,,0.014477189630270004,,0.8024473190307617,,1.4984924793243408,,0.816924512386322,,,,,,
37,341,,,,,,,,,,,0.6907407641410828,0.7143270969390869,0.0069652460515499115,0.8219590187072754,1.5432512760162354,0.828924298286438
37,341,0.717074990272522,,0.015034491196274757,,0.8261791467666626,,1.55828857421875,,0.8412137031555176,,,,,,,
38,349,,0.6752887964248657,,0.014899400994181633,,0.8239957690238953,,1.5141839981079102,,0.8388951420783997,,,,,,
38,350,,,,,,,,,,,0.6907407641410828,0.7021200060844421,0.007669314742088318,0.821847677230835,1.5316370725631714,0.8295170664787292
38,350,0.7138943076133728,,0.014164556749165058,,0.8262666463851929,,1.5543254613876343,,0.8404312133789062,,,,,,,
39,359,,0.6723462343215942,,0.015042038634419441,,0.8073742985725403,,1.494762659072876,,0.822416365146637,,,,,,
39,359,,,,,,,,,,,0.6907407641410828,0.7068754434585571,0.007370782550424337,0.8217951059341431,1.536041259765625,0.8291658163070679
39,359,0.7166271805763245,,0.014536329545080662,,0.8259952664375305,,1.5571588277816772,,0.840531587600708,,,,,,,
40,368,,,,,,,,,,,0.6907407641410828,0.7102974653244019,0.007247669622302055,0.8219319581985474,1.5394771099090576,0.8291796445846558
40,368,0.7165144681930542,,0.013639419339597225,,0.8259737491607666,,1.5561277866363525,,0.8396131992340088,,,,,,,
41,369,,0.7154881954193115,,0.013288965448737144,,0.8221684694290161,,1.5509456396102905,,0.835457444190979,,,,,,
41,377,,,,,,,,,,,0.6907407641410828,0.7025327086448669,0.007039115764200687,0.8218302130699158,1.5314021110534668,0.8288693428039551
41,377,0.7191962599754333,,0.013537364080548286,,0.8258370161056519,,1.5585705041885376,,0.8393743634223938,,,,,,,
42,379,,0.7761976718902588,,0.013421505689620972,,0.8527631163597107,,1.642382264137268,,0.8661845922470093,,,,,,
42,386,,,,,,,,,,,0.6907407641410828,0.7154518365859985,0.007429767400026321,0.8217765092849731,1.5446581840515137,0.8292063474655151
42,386,0.7145394086837769,,0.013918849639594555,,0.825728178024292,,1.554186463356018,,0.8396469950675964,,,,,,,
43,389,,0.7184673547744751,,0.012173518538475037,,0.830773651599884,,1.5614144802093506,,0.8429471850395203,,,,,,
43,395,,,,,,,,,,,0.6907407641410828,0.7116977572441101,0.006387396715581417,0.8217811584472656,1.539866328239441,0.8281684517860413
43,395,0.7152646780014038,,0.01261834241449833,,0.8256276249885559,,1.5535105466842651,,0.8382460474967957,,,,,,,
44,399,,0.6736464500427246,,0.012974374927580357,,0.8360390067100525,,1.5226597785949707,,0.8490133881568909,,,,,,
44,404,,,,,,,,,,,0.6907407641410828,0.7184169292449951,0.006021197885274887,0.8218069672584534,1.5462450981140137,0.827828049659729
44,404,0.7202485203742981,,0.012064620852470398,,0.8255413770675659,,1.5578547716140747,,0.8376060128211975,,,,,,,
45,409,,0.7249497771263123,,0.014051290228962898,,0.8056051135063171,,1.5446062088012695,,0.8196564316749573,,,,,,
45,413,,,,,,,,,,,0.6907407641410828,0.703429639339447,0.006384311709553003,0.8217014670372009,1.53151535987854,0.8280857801437378
45,413,0.714522659778595,,0.01251304242759943,,0.8254127502441406,,1.5524486303329468,,0.837925910949707,,,,,,,
46,419,,0.7426614165306091,,0.012889780104160309,,0.8272459506988525,,1.5827971696853638,,0.8401357531547546,,,,,,
46,422,,,,,,,,,,,0.6907407641410828,0.7099741101264954,0.00587715907022357,0.8217648863792419,1.5376161336898804,0.827642023563385
46,422,0.7124327421188354,,0.011548684909939766,,0.8252373933792114,,1.549218773841858,,0.8367859721183777,,,,,,,
47,429,,0.7710905075073242,,0.012813873589038849,,0.8152590394020081,,1.5991634130477905,,0.8280729055404663,,,,,,
47,431,,,,,,,,,,,0.6907407641410828,0.7173339128494263,0.006333179771900177,0.8218007683753967,1.5454679727554321,0.8281340599060059
47,431,0.7209528088569641,,0.01150060910731554,,0.8255093693733215,,1.5579627752304077,,0.8370099663734436,,,,,,,
48,439,,0.7148303985595703,,0.013542203232645988,,0.8122546672821045,,1.5406272411346436,,0.8257968425750732,,,,,,
48,440,,,,,,,,,,,0.6907407641410828,0.7211276888847351,0.006715378258377314,0.8218299150466919,1.5496728420257568,0.8285452723503113
48,440,0.7137778401374817,,0.012200601398944855,,0.8253530859947205,,1.5513314008712769,,0.8375536799430847,,,,,,,
49,449,,0.7457550168037415,,0.013912196271121502,,0.8286367654800415,,1.588304042816162,,0.8425489664077759,,,,,,
49,449,,,,,,,,,,,0.6907407641410828,0.7071657776832581,0.0067754266783595085,0.8216646909713745,1.5356059074401855,0.8284401297569275
49,449,0.7190715670585632,,0.011382529512047768,,0.825174868106842,,1.5556288957595825,,0.8365574479103088,,,,,,,
